team,name,caps,position,years_since_debut,debut,age,approx_age_debuted,height_cm,weight_kg
Canada,Ray Barkwill,26,Hooker,3,9-Nov-12,35,32,180,103
England,Courtney Lawes,42,Lock,6.1,7-Nov-09,26,20,201,115
France,Pascal Pape,65,Lock,11.8,14-Feb-04,35,23,195,118
Ireland,Rhys Ruddock,6,Back Row,5.4,26-Jun-10,25,20,191,111
England,Kieran Brookes,15,Prop,1.5,14-Jun-14,25,24,186,122
England,George Kruis,10,Lock,1,8-Nov-14,25,24,198,112
Georgia,Konstantine Mikautadze,40,Lock,5.5,11-Jun-10,24,19,200,125
Romania,Madalin Lemnaru,30,Wing,6.8,7-Feb-09,26,19,188,95
Samoa,Maurie Faasavalu,27,Back Row,13.4,6-Jul-02,35,22,191,112
Tonga,Sitiveni Mafi,17,Back Row,5.5,12-Jun-10,25,20,196,102
Scotland,Peter Horne,15,Centre,2.5,8-Jun-13,26,24,183,92
Australia,Bernard Foley,27,Fly Half,2.1,5-Oct-13,26,24,182,89
Japan,Amanaki Mafi,7,Back Row,1,15-Nov-14,25,24,189,112
Japan,Luke Thompson,63,Lock,8.6,29-Apr-07,34,25,196,108
Canada,Jamie Mackenzie,8,Scrum Half,5.1,6-Nov-10,26,21,175,89
Uruguay,Agustin Ormaechea,27,Scrum Half,4,13-Nov-11,24,20,176,86
South Africa,Schalk Burger,86,Back Row,12.1,24-Oct-03,32,20,193,110
Japan,Shoji Ito,36,Lock,3.6,28-Apr-12,34,30,191,100
Uruguay,Carlos Arboleya,54,Hooker,11.1,30-Oct-04,30,19,173,110
New Zealand,Ma'a Nonu,103,Centre,12.5,14-Jun-03,33,21,182,108
Georgia,Merab Kvirikashvili,88,Full Back,12.8,16-Feb-03,31,18,177,80
